,0
532,9.71
533,0.11
534,0.19
535,0.21
536,1.42
537,19.62
538,23.7
539,37.4
540,158.94
541,82.45
542,107.58
543,1.87
544,1.53
545,35.81
546,0.08
547,0.03
548,2.94
549,30.54
550,44.81
551,61.16
552,44.44
553,29.23
554,33.64
555,13.53
556,0.38
557,0.2
558,0.08
559,0.05
560,0.62
561,33.53
562,76.44
563,90.07
564,29.05
565,54.41
566,29.18
567,10.21
568,0.84
569,0.34
570,1.11
571,1.31
572,7.31
573,37.61
574,58.75
575,66.96
576,100.78
577,82.33
578,22.07
579,7.98
580,0.31
581,0.05
582,0.05
583,0.06
584,0.35
585,9.95
586,40.59
587,61.56
588,53.43
589,112.94
590,82.94
591,21.65
592,10.64
593,0.07
594,0.05
595,0.37
596,1.37
597,17.98
598,96.3
599,186.94
600,127.98
601,135.07
602,15.85
603,26.27
604,10.85
605,0.11
606,2.53
607,0.07
608,1.94
609,21.84
610,95.24
611,60.87
612,142.4
613,22.93
614,128.06
615,21.55
616,42.07
617,0.05
618,0.27
619,1.74
620,35.51
621,21.43
622,83.39
623,54.25
624,103.52
625,29.48
626,61.52
627,9.46
628,0.25
629,0.03
630,0.05
631,0.41
632,2.16
633,37.29
634,63.61
635,137.01
636,44.0
637,18.78
638,18.75
639,13.04
640,23.65
641,0.11
642,0.06
643,0.36
644,0.44
645,22.4
646,48.28
647,127.85
648,136.01
649,261.41
650,93.39
651,33.06
652,11.71
653,14.36
654,0.62
655,0.37
656,0.83
657,23.3
658,46.27
659,50.39
660,11.38
661,132.81
662,38.69
663,28.93
664,51.75
665,3.45
666,0.05
667,0.35
668,2.98
669,63.87
670,182.44
671,41.71
672,29.66
673,53.6
674,14.71
675,22.85
676,17.29
677,3.33
678,0.06
679,4.04
680,5.15
681,31.42
682,7.33
683,68.49
684,41.49
685,66.27
686,11.14
687,5.38
688,0.59
689,10.15
690,0.05
691,0.34
692,0.86
693,58.45
694,47.76
695,45.05
696,77.83
697,90.92
698,107.91
699,43.28
700,0.35
701,0.25
702,0.3
703,0.33
704,0.42
705,22.39
706,39.97
707,113.05
708,72.69
709,34.84
710,34.0
711,58.43
712,0.5
713,0.02
714,0.05
715,0.34
716,0.41
717,1.01
718,63.19
719,61.99
720,142.87
721,175.19
722,107.02
723,7.13
724,7.25
725,0.89
726,0.37
727,2.08
728,4.22
729,9.35
730,67.92
731,93.55
732,34.95
733,6.07
734,25.89
735,19.11
736,1.14
737,7.31
738,0.17
739,0.34
740,31.7
741,67.46
742,71.05
743,107.88
744,171.58
745,30.35
746,102.52
747,11.2
748,7.62
749,0.33
750,0.95
751,0.34
752,0.47
753,4.86
754,90.41
755,55.79
756,176.23
757,75.39
758,61.68
759,3.73
760,16.63
761,92.41
762,2.86
763,1.69
764,7.0
765,35.46
766,97.99
767,65.5
768,78.38
769,36.73
770,24.78
771,127.12
772,10.58
773,0.02
774,0.27
775,0.67
776,1.01
777,21.33
778,54.61
779,49.51
780,125.44
781,23.56
782,53.14
783,41.58
784,2.32
785,5.2
786,0.49
787,0.81
788,1.31
789,13.98
790,31.69
791,71.69
792,31.48
793,17.94
794,44.9
795,5.19
796,0.69
797,0.01
798,0.38
799,0.76
800,2.04
801,46.21
802,42.06
803,75.77
804,57.03
805,14.82
806,7.01
807,35.62
808,0.62
809,0.02
810,3.85
811,0.82
812,0.95
813,12.44
814,37.12
815,101.86
816,82.82
817,41.4
818,150.63
819,15.65
820,0.64
821,0.05
822,0.2
823,0.66
824,0.76
825,9.57
826,58.18
827,105.38
828,117.28
829,62.23
830,36.74
831,16.64
832,0.69
833,0.04
834,0.53
835,1.57
836,8.51
837,6.27
838,33.19
839,79.11
840,54.84
