,0
532,7.51
533,0.3
534,3.43
535,2.59
536,7.73
537,42.35
538,52.94
539,116.57
540,175.37
541,101.3
542,134.62
543,1.45
544,2.46
545,14.01
546,0.16
547,0.76
548,8.24
549,56.3
550,54.65
551,108.37
552,75.96
553,68.56
554,32.26
555,12.64
556,0.08
557,1.13
558,0.07
559,20.76
560,4.6
561,43.53
562,103.62
563,122.15
564,93.62
565,91.45
566,72.73
567,31.23
568,5.88
569,0.34
570,0.34
571,2.76
572,30.98
573,149.2
574,101.07
575,112.18
576,120.46
577,115.26
578,67.7
579,22.96
580,0.91
581,0.18
582,0.38
583,1.14
584,9.15
585,56.22
586,70.41
587,99.11
588,92.0
589,57.54
590,121.78
591,58.31
592,11.37
593,0.31
594,0.85
595,9.0
596,6.0
597,92.03
598,148.14
599,189.17
600,154.56
601,232.0
602,75.83
603,61.63
604,22.32
605,0.78
606,11.17
607,7.78
608,4.22
609,109.08
610,82.66
611,112.96
612,94.84
613,45.77
614,200.5
615,42.09
616,78.61
617,8.08
618,4.55
619,6.15
620,47.79
621,65.12
622,129.41
623,90.16
624,113.93
625,65.94
626,49.74
627,13.15
628,0.13
629,0.18
630,0.31
631,0.71
632,42.52
633,64.57
634,158.19
635,134.08
636,85.67
637,31.78
638,47.87
639,31.69
640,25.01
641,2.37
642,0.78
643,0.62
644,12.5
645,36.71
646,53.97
647,171.62
648,153.26
649,171.34
650,138.97
651,52.98
652,32.64
653,10.26
654,1.18
655,0.78
656,27.42
657,110.73
658,112.06
659,123.14
660,45.01
661,85.75
662,42.07
663,30.17
664,33.44
665,5.22
666,0.65
667,4.6
668,29.67
669,97.35
670,125.07
671,100.43
672,101.2
673,68.15
674,41.98
675,21.39
676,25.33
677,12.6
678,1.53
679,27.45
680,13.7
681,59.27
682,21.2
683,123.66
684,91.43
685,73.51
686,43.15
687,10.35
688,2.48
689,8.38
690,0.25
691,7.93
692,4.28
693,42.83
694,94.42
695,55.69
696,103.58
697,139.06
698,104.34
699,24.82
700,3.64
701,5.09
702,11.34
703,4.54
704,2.56
705,40.61
706,74.14
707,110.68
708,152.64
709,62.13
710,64.12
711,50.42
712,1.91
713,0.2
714,0.2
715,5.43
716,2.57
717,32.13
718,124.55
719,63.49
720,224.92
721,148.78
722,81.76
723,29.09
724,3.92
725,0.26
726,2.39
727,31.18
728,3.05
729,37.71
730,95.87
731,137.13
732,60.01
733,25.14
734,27.04
735,26.56
736,0.12
737,17.55
738,1.13
739,1.79
740,32.56
741,159.43
742,100.34
743,89.24
744,200.52
745,54.62
746,115.8
747,11.91
748,24.83
749,9.59
750,0.59
751,0.4
752,1.23
753,44.86
754,111.06
755,95.3
756,170.5
757,117.76
758,86.71
759,9.82
760,13.83
761,29.16
762,2.29
763,17.21
764,20.07
765,94.73
766,113.85
767,177.66
768,177.01
769,82.12
770,67.99
771,86.02
772,22.25
773,0.43
774,1.01
775,0.7
776,3.98
777,43.71
778,74.55
779,195.41
780,137.7
781,35.75
782,71.68
783,71.99
784,6.0
785,15.12
786,8.59
787,15.27
788,6.19
789,76.05
790,41.07
791,128.28
792,107.32
793,47.83
794,58.66
795,15.46
796,0.78
797,5.06
798,1.22
799,3.92
800,86.77
801,79.15
802,77.25
803,106.12
804,103.43
805,47.13
806,54.81
807,79.84
808,9.78
809,0.85
810,0.99
811,4.83
812,9.23
813,101.01
814,121.49
815,172.56
816,89.35
817,93.69
818,138.05
819,20.33
820,1.65
821,1.9
822,1.07
823,14.04
824,8.76
825,33.49
826,108.46
827,132.14
828,92.89
829,33.76
830,56.0
831,38.23
832,1.92
833,1.85
834,10.5
835,1.14
836,39.66
837,30.84
838,41.98
839,100.3
840,133.86
