,0
532,1.34
533,0.14
534,1.97
535,0.27
536,0.23
537,0.07
538,0.02
539,0.0
540,0.04
541,0.12
542,0.0
543,0.0
544,18.55
545,1.59
546,5.42
547,2.22
548,0.23
549,0.06
550,0.02
551,0.0
552,1.58
553,0.12
554,1.44
555,0.59
556,13.24
557,0.14
558,6.76
559,19.3
560,13.39
561,4.62
562,1.19
563,0.0
564,0.28
565,1.08
566,6.71
567,0.16
568,1.58
569,7.67
570,1.74
571,3.85
572,5.57
573,0.06
574,0.87
575,0.0
576,1.45
577,0.57
578,0.0
579,0.0
580,0.19
581,0.14
582,6.2
583,9.1
584,1.7
585,4.4
586,0.01
587,0.0
588,0.03
589,0.12
590,7.26
591,6.4
592,1.02
593,2.71
594,0.36
595,11.5
596,0.47
597,0.06
598,0.01
599,0.1
600,0.03
601,0.12
602,3.38
603,0.32
604,1.53
605,2.68
606,1.07
607,0.37
608,0.47
609,0.06
610,0.01
611,0.0
612,0.03
613,0.12
614,0.0
615,6.59
616,1.09
617,1.81
618,2.73
619,28.47
620,3.27
621,1.79
622,0.01
623,0.0
624,0.02
625,0.08
626,0.05
627,0.0
628,1.36
629,1.53
630,3.43
631,4.65
632,4.64
633,0.11
634,0.0
635,0.85
636,0.02
637,0.08
638,0.05
639,0.0
640,9.84
641,2.16
642,3.25
643,16.85
644,1.34
645,0.11
646,0.0
647,0.0
648,5.36
649,0.08
650,0.05
651,0.0
652,1.35
653,2.75
654,3.5
655,4.75
656,1.34
657,0.12
658,0.0
659,0.0
660,0.02
661,0.08
662,0.05
663,0.0
664,1.08
665,1.57
666,2.78
667,6.11
668,7.33
669,0.11
670,0.0
671,0.0
672,0.02
673,0.08
674,0.05
675,0.52
676,1.08
677,1.55
678,2.89
679,4.93
680,1.46
681,2.5
682,0.0
683,0.09
684,0.02
685,0.08
686,0.05
687,0.0
688,1.08
689,2.6
690,3.04
691,6.76
692,1.32
693,4.01
694,0.0
695,0.0
696,0.33
697,0.08
698,0.18
699,0.0
700,1.13
701,1.51
702,3.4
703,23.2
704,1.33
705,0.11
706,0.0
707,0.1
708,0.02
709,3.01
710,5.01
711,0.35
712,1.92
713,11.67
714,3.35
715,7.88
716,2.62
717,0.11
718,0.0
719,0.0
720,4.24
721,0.54
722,0.05
723,0.0
724,1.9
725,2.11
726,3.92
727,48.15
728,5.16
729,1.35
730,0.0
731,0.0
732,0.02
733,2.18
734,0.29
735,0.0
736,1.1
737,1.6
738,6.03
739,7.98
740,1.58
741,0.11
742,0.0
743,0.26
744,0.06
745,0.08
746,0.05
747,0.0
748,2.88
749,1.99
750,4.65
751,9.87
752,1.69
753,0.1
754,0.0
755,0.1
756,0.02
757,0.07
758,0.26
759,0.0
760,2.62
761,1.77
762,5.67
763,10.13
764,9.99
765,4.44
766,0.0
767,0.0
768,0.08
769,0.08
770,0.04
771,1.72
772,0.87
773,1.65
774,10.62
775,4.92
776,2.0
777,2.86
778,0.1
779,0.0
780,0.02
781,0.56
782,0.04
783,0.01
784,1.8
